hours_of_sleep,gender,age,athlete,greek,school
7,Female,20,No,Yes,School of Arts & Sciences
8,Female,20,No,Yes,School of Arts & Sciences
8,Female,20,No,Yes,School of Arts & Sciences
8,Female,19,No,Yes,School of Arts & Sciences
7,Female,19,No,Yes,School of Arts & Sciences
8,Female,18,No,Yes,School of Arts & Sciences
7,Female,20,No,No,Robins School of Business
7,Female,18,No,Yes,School of Arts & Sciences
7,Female,19,No,Yes,School of Arts & Sciences
7,Female,22,No,Yes,Robins School of Business
6,Female,20,No,Yes,School of Arts & Sciences
6,Female,20,No,Yes,School of Arts & Sciences
7,Female,20,No,Yes,School of Arts & Sciences
7,Female,21,No,Yes,School of Arts & Sciences
6.5,Female,19,No,Yes,Jepson School of Leadership Studies
7,Female,20,No,Yes,Jepson School of Leadership Studies
7,Female,19,No,Yes,Robins School of Business
6,Female,20,No,Yes,Jepson School of Leadership Studies
7,Female,21,No,Yes,Robins School of Business
7,Female,20,No,Yes,Jepson School of Leadership Studies
8,Female,19,No,Yes,Robins School of Business
7,Female,19,No,Yes,School of Arts & Sciences
5,Female,21,No,Yes,School of Arts & Sciences
5,Female,19,No,Yes,School of Arts & Sciences
7,Female,19,No,Yes,School of Arts & Sciences
8,Female,20,No,Yes,School of Arts & Sciences
8,Male,20,No,Yes,School of Arts & Sciences
7,Female,18,No,Yes,School of Arts & Sciences
7,Female,20,No,Yes,Robins School of Business
8,Male,21,No,No,Robins School of Business
7,Female,20,No,Yes,School of Arts & Sciences
8,Female,19,No,No,School of Arts & Sciences
5,Female,19,No,Yes,Robins School of Business
6,Female,21,No,Yes,Robins School of Business
8,Female,22,No,Yes,Robins School of Business
7,Female,19,No,No,School of Arts & Sciences
8,Female,20,No,No,School of Arts & Sciences
7,Female,19,No,Yes,Robins School of Business
4,Female,19,No,Yes,School of Arts & Sciences
8,Female,19,No,Yes,School of Arts & Sciences
8,Female,20,No,No,School of Arts & Sciences
6,Male,20,No,No,School of Arts & Sciences
7,Female,19,No,No,School of Arts & Sciences
8,Female,19,No,No,Robins School of Business
6,Female,18,No,Yes,School of Arts & Sciences
7,Female,20,No,Yes,School of Arts & Sciences
6,Male,18,Yes,Yes,School of Arts & Sciences
3.5,Male,18,No,Yes,Robins School of Business
4,Male,19,No,Yes,Robins School of Business
6,Male,19,No,Yes,School of Arts & Sciences
8,Female,19,No,No,School of Arts & Sciences
8,Male,19,No,Yes,School of Arts & Sciences
4,Female,18,No,No,School of Arts & Sciences
8,Female,18,Yes,Yes,School of Arts & Sciences
6,Male,20,No,Yes,School of Arts & Sciences
8,Male,18,No,No,School of Arts & Sciences
6,Male,20,No,Yes,Robins School of Business
6,Male,18,No,Yes,School of Arts & Sciences
7,Female,20,No,Yes,School of Arts & Sciences
6,Male,20,No,No,Robins School of Business
6,Female,19,No,Yes,School of Arts & Sciences
6,Male,20,No,No,Robins School of Business
4,Male,20,No,Yes,School of Arts & Sciences
6,Male,18,Yes,Yes,School of Arts & Sciences
6,Male,19,No,No,School of Arts & Sciences
7,Male,22,No,No,School of Arts & Sciences
6,Female,20,No,Yes,School of Arts & Sciences
7,Male,18,No,No,School of Arts & Sciences
9,Female,21,Yes,No,School of Arts & Sciences
8,Female,20,No,No,School of Arts & Sciences
7,Female,19,No,Yes,School of Arts & Sciences
7,Female,19,No,Yes,School of Arts & Sciences
7,Female,21,No,No,School of Arts & Sciences
6,Male,19,No,No,School of Arts & Sciences
6,Male,19,Yes,No,School of Arts & Sciences
6,Female,21,No,No,School of Arts & Sciences
8,Female,21,No,No,School of Arts & Sciences
7,Male,19,No,Yes,Robins School of Business
5,Female,22,No,Yes,School of Arts & Sciences
